# x1, y1, x2, y2
-0.22493,0.11142,-0.23610,0.13379
-0.04534,-0.09605,-0.04126,-0.12072
-0.23610,0.13379,-0.25796,0.14593
0.15868,-0.03830,0.13933,-0.02247
0.27673,0.00873,0.30018,0.01739
0.16279,0.06819,0.15904,0.09291
0.13933,-0.02247,0.11706,-0.01111
-0.24201,-0.29372,-0.21702,-0.29436
-0.15917,0.04905,-0.13421,0.05049
-0.25796,0.14593,-0.23798,0.13089
0.26046,0.09455,0.25102,0.07140
-0.22833,0.03751,-0.23671,0.06106
-0.25796,0.14593,-0.25238,0.17030
0.26046,0.09455,0.28486,0.10000
0.12828,-0.10642,0.11805,-0.08361
0.28486,0.10000,0.30986,0.09979
0.22013,-0.00865,0.22531,-0.03311
-0.25238,0.17030,-0.26576,0.19142
0.16055,-0.37399,0.18534,-0.37074
0.18534,-0.37074,0.21024,-0.37289
-0.32588,-0.32259,-0.35073,-0.31978
-0.26615,0.02419,-0.24292,0.03344
0.07038,-0.12378,0.05610,-0.10326
-0.26576,0.19142,-0.25304,0.21294
-0.43325,-0.44010,-0.43930,-0.46436
-0.25304,0.21294,-0.27428,0.22613
-0.15671,-0.27592,-0.15106,-0.30027
-0.27428,0.22613,-0.28843,0.24673
0.30018,0.01739,0.32508,0.01518
0.00882,-0.35890,-0.00182,-0.33628
0.08049,-0.36638,0.07351,-0.34238
-0.01111,-0.17555,-0.03021,-0.15943
-0.20360,-0.02245,-0.19344,-0.04529
0.02312,-0.29515,0.04210,-0.31142
0.00882,-0.35890,0.02170,-0.33747
0.32508,0.01518,0.33356,-0.00834
0.33356,-0.00834,0.30871,-0.00565
0.15904,0.09291,0.18389,0.09570
-0.28843,0.24673,-0.31175,0.23770
-0.24201,-0.29372,-0.24907,-0.31770
-0.19632,-0.18131,-0.17697,-0.19715
0.18389,0.09570,0.18054,0.12047
-0.28843,0.24673,-0.29136,0.22191
-0.28843,0.24673,-0.27839,0.22384
0.18054,0.12047,0.17473,0.09615
0.30986,0.09979,0.29822,0.07767
0.17473,0.09615,0.19070,0.07692
0.18054,0.12047,0.16683,0.14138
0.21024,-0.37289,0.23427,-0.37979
-0.31175,0.23770,-0.29780,0.21696
-0.38909,-0.33367,-0.41144,-0.34489
0.07351,-0.34238,0.05628,-0.36049
0.16683,0.14138,0.18090,0.16204
0.07392,-0.13580,0.08384,-0.11285
-0.13421,0.05049,-0.11074,0.05910
0.30986,0.09979,0.29902,0.07726
-0.12749,-0.29898,-0.12373,-0.27427
-0.26615,0.02419,-0.24501,0.03753
0.18090,0.16204,0.17859,0.13715
-0.31175,0.23770,-0.32625,0.25807
0.16683,0.14138,0.14188,0.13978
-0.01506,-0.30823,-0.02173,-0.28414
0.11516,-0.35346,0.13044,-0.33367
-0.43930,-0.46436,-0.46366,-0.45875
0.18090,0.16204,0.19435,0.14097
-0.35530,-0.28617,-0.35085,-0.31077
0.13513,-0.08238,0.11015,-0.08153
-0.29780,0.21696,-0.31828,0.20262
0.30986,0.09979,0.30197,0.07607
-0.29780,0.21696,-0.29537,0.24184
-0.19632,-0.18131,-0.17298,-0.19029
0.18090,0.16204,0.17237,0.13854
0.23427,-0.37979,0.23161,-0.40464
0.21204,-0.19630,0.23694,-0.19847
0.14188,0.13978,0.12257,0.15565
0.18090,0.16204,0.20346,0.17280
0.12257,0.15565,0.12091,0.18060
0.23161,-0.40464,0.25599,-0.41021
-0.16512,0.12397,-0.14205,0.11434
-0.26615,0.02419,-0.28046,0.00370
0.21024,-0.37289,0.21237,-0.39780
0.32508,0.01518,0.30338,0.00278
0.25371,0.04692,0.26497,0.06924
0.12091,0.18060,0.12799,0.15662
0.25599,-0.41021,0.28002,-0.40331
