2.5,1.0184,0.40579
2.51,0.95969,0.35602
2.52,0.90122,0.30844
2.53,0.84324,0.26324
2.54,0.78601,0.22062
2.55,0.72976,0.18076
2.56,0.67472,0.14384
2.57,0.62114,0.11
2.58,0.56924,0.079413
2.59,0.51924,0.052197
2.6,0.47136,0.028478
2.61,0.42579,0.0083648
2.62,0.38274,-0.0080495
2.63,0.34239,-0.020686
2.64,0.30492,-0.02948
2.65,0.27049,-0.034382
2.66,0.23925,-0.03536
2.67,0.21135,-0.032395
2.68,0.1869,-0.025484
2.69,0.16603,-0.01464
2.7,0.14882,0.00010769
2.71,0.13537,0.018716
2.72,0.12574,0.041125
2.73,0.11998,0.067262
2.74,0.11814,0.097036
2.75,0.12025,0.13035
2.76,0.12629,0.16707
2.77,0.13628,0.20709
2.78,0.15018,0.25025
2.79,0.16796,0.29639
2.8,0.18956,0.34536
2.81,0.21491,0.39696
2.82,0.24393,0.45102
2.83,0.27653,0.50733
2.84,0.31258,0.56568
2.85,0.35196,0.62587
2.86,0.39454,0.68765
2.87,0.44016,0.75082
2.88,0.48866,0.81512
2.89,0.53985,0.88033
2.9,0.59356,0.94619
2.91,0.6496,1.0125
2.92,0.70774,1.0789
2.93,0.76779,1.1453
2.94,0.82952,1.2113
2.95,0.8927,1.2767
2.96,0.9571,1.3414
2.97,1.0225,1.4049
2.98,1.0886,1.4672
2.99,1.1552,1.528
3,1.2221,1.587
3.01,1.2889,1.644
3.02,1.3556,1.6988
3.03,1.4217,1.7512
3.04,1.4871,1.8011
3.05,1.5515,1.8482
3.06,1.6147,1.8924
3.07,1.6764,1.9335
3.08,1.7364,1.9713
3.09,1.7946,2.0058
3.1,1.8506,2.0367
3.11,1.9043,2.0641
3.12,1.9555,2.0877
3.13,2.004,2.1076
3.14,2.0496,2.1237
3.15,2.0922,2.1358
3.16,2.1316,2.144
3.17,2.1676,2.1483
3.18,2.2002,2.1487
3.19,2.2293,2.1451
3.2,2.2546,2.1376
3.21,2.2762,2.1262
3.22,2.294,2.111
3.23,2.3079,2.0921
3.24,2.3179,2.0696
3.25,2.3239,2.0436
3.26,2.326,2.0141
3.27,2.3242,1.9813
3.28,2.3184,1.9454
3.29,2.3088,1.9065
